team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CGY,2008,CGY,2008020041,CGY,COL,HOME,20081014,Team Level,other,1.0,0.5,1.0,83.0,1.458,0.06,0.073,0.293,0.039,0.804,0.73,0.06,0.06,0.06,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.017,0.0,0.0,0.077,0.077,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CGY,2008,CGY,2008020041,CGY,COL,HOME,20081014,Team Level,all,0.5389,0.5784,0.561,3600.0,32.379,3.134,2.15,7.664,0.996,18.533,12.588,2.945,3.115,2.925,35.0,11.0,13.0,59.0,5.0,2.0,1.0,7.0,3.0,13.0,16.0,30.0,41.0,7.0,17.0,36.0,19.0,7.0,6.0,34.0,9.0,3.0,1.009,1.07,1.056,1.0,2.0,2.0,59.044,46.0,46.214,1.0,0.471,0.41,0.41,3.13,3.101,2.919,26.492,2.682,1.777,6.407,0.832,14.325,9.976,2.644,2.701,2.664,29.0,7.0,7.0,43.0,4.0,2.0,1.0,7.0,1.0,8.0,14.0,25.0,32.0,7.0,17.0,27.0,15.0,8.0,10.0,28.0,5.0,3.0,0.635,0.554,1.493,1.0,0.0,3.0,42.511,36.0,35.516,8.0,0.424,0.318,0.318,2.787,2.81,2.8
CGY,2008,CGY,2008020041,CGY,COL,HOME,20081014,Team Level,5on5,0.5248,0.5833,0.5424,2395.0,22.462,1.563,1.329,5.784,0.727,13.099,9.498,1.534,1.543,1.514,23.0,9.0,10.0,42.0,2.0,2.0,1.0,7.0,3.0,7.0,11.0,21.0,30.0,7.0,17.0,26.0,13.0,3.0,4.0,27.0,4.0,1.0,0.708,0.487,0.368,1.0,0.0,1.0,42.044,32.0,32.214,1.0,0.266,0.41,0.41,1.418,1.39,1.38,19.772,1.415,1.13,5.078,0.63,10.591,8.156,1.377,1.434,1.397,21.0,6.0,3.0,30.0,2.0,1.0,1.0,4.0,1.0,7.0,12.0,19.0,25.0,6.0,15.0,16.0,12.0,5.0,4.0,21.0,5.0,1.0,0.561,0.554,0.299,1.0,0.0,1.0,29.511,27.0,26.516,4.0,0.231,0.299,0.299,1.347,1.369,1.36
CGY,2008,CGY,2008020041,CGY,COL,HOME,20081014,Team Level,4on5,0.0,0.0833,0.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72,1.267,0.647,1.33,0.203,3.733,1.82,1.267,1.267,1.267,8.0,1.0,2.0,11.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,6.0,7.0,0.0,0.0,5.0,2.0,1.0,3.0,7.0,0.0,2.0,0.073,0.0,1.194,0.0,0.0,2.0,11.0,9.0,9.0,1.0,0.193,0.019,0.019,1.441,1.441,1.44
CGY,2008,CGY,2008020041,CGY,COL,HOME,20081014,Team Level,5on4,1.0,1.0,1.0,555.0,8.46,1.511,0.748,1.586,0.231,4.63,2.359,1.352,1.511,1.352,11.0,1.0,2.0,14.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,9.0,0.0,0.0,3.0,1.0,1.0,2.0,5.0,5.0,2.0,0.24,0.583,0.688,0.0,2.0,1.0,14.0,12.0,12.0,0.0,0.189,0.0,0.0,1.635,1.635,1.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CGY,2008,CGY,2008020060,CGY,EDM,HOME,20081017,Team Level,other,0.6133,0.4444,0.5,182.0,1.163,0.111,0.109,0.261,0.056,0.79,0.673,0.111,0.111,0.111,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.01,0.101,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.03,0.0,0.0,0.141,0.141,0.141,1.351,0.07,0.098,0.298,0.041,0.825,0.668,0.07,0.07,0.07,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.029,0.0,0.0,0.099,0.099,0.099
CGY,2008,CGY,2008020060,CGY,EDM,HOME,20081017,Team Level,all,0.401,0.4602,0.4831,3600.0,30.24,2.777,2.161,7.293,1.061,17.657,12.052,2.64,2.717,2.581,29.0,14.0,9.0,52.0,3.0,1.0,0.0,6.0,1.0,19.0,13.0,26.0,40.0,7.0,14.0,23.0,22.0,12.0,12.0,30.0,11.0,2.0,0.937,1.235,0.605,2.0,0.0,1.0,50.734,43.0,42.002,6.0,0.484,0.026,0.026,3.235,3.162,3.008,32.802,4.149,2.226,7.537,1.041,18.345,12.702,4.025,4.258,4.13,35.0,11.0,15.0,61.0,4.0,6.0,1.0,8.0,1.0,13.0,14.0,31.0,42.0,4.0,8.0,29.0,15.0,4.0,11.0,34.0,8.0,4.0,0.886,1.007,2.256,0.0,1.0,3.0,63.34,46.0,47.566,5.0,0.513,1.517,1.517,3.145,3.242,3.21
CGY,2008,CGY,2008020060,CGY,EDM,HOME,20081017,Team Level,5on5,0.4063,0.4444,0.4697,2738.0,22.072,1.381,1.404,5.633,0.711,12.617,9.255,1.366,1.321,1.307,20.0,11.0,5.0,36.0,2.0,1.0,0.0,5.0,0.0,12.0,11.0,18.0,29.0,7.0,14.0,15.0,20.0,10.0,9.0,25.0,6.0,0.0,0.717,0.665,0.0,2.0,0.0,0.0,34.734,31.0,30.002,4.0,0.285,0.026,0.026,1.64,1.567,1.551,25.02,2.018,1.661,6.236,0.832,13.917,10.337,1.912,2.127,2.018,24.0,11.0,10.0,45.0,1.0,5.0,0.0,7.0,1.0,10.0,11.0,23.0,34.0,3.0,6.0,22.0,12.0,3.0,6.0,26.0,8.0,1.0,0.767,1.007,0.244,0.0,1.0,0.0,47.34,35.0,36.566,3.0,0.341,0.689,0.689,1.67,1.767,1.744
CGY,2008,CGY,2008020060,CGY,EDM,HOME,20081017,Team Level,4on5,0.0,0.0,0.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.431,2.061,0.467,1.004,0.168,3.604,1.697,2.042,2.061,2.042,9.0,0.0,2.0,11.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,6.0,6.0,0.0,0.0,3.0,2.0,1.0,3.0,6.0,0.0,3.0,0.049,0.0,2.011,0.0,0.0,3.0,11.0,9.0,9.0,0.0,0.143,0.828,0.828,1.376,1.376,1.367
CGY,2008,CGY,2008020060,CGY,EDM,HOME,20081017,Team Level,5on4,1.0,1.0,1.0,234.0,7.006,1.285,0.647,1.399,0.294,4.251,2.125,1.164,1.285,1.164,7.0,3.0,2.0,12.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,6.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0,0.21,0.47,0.605,0.0,0.0,1.0,12.0,10.0,10.0,0.0,0.169,0.0,0.0,1.454,1.454,1.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
CGY,2008,CGY,2008020074,CGY,EDM,AWAY,20081018,Team Level,other,0.6338,0.7778,0.6,238.0,2.188,0.135,0.107,0.526,0.069,1.144,1.019,0.135,0.135,0.135,2.0,1.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,0.0,0.031,0.0,0.0,0.166,0.166,0.166,1.398,0.078,0.068,0.302,0.043,0.739,0.771,0.077,0.078,0.077,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.015,0.0,0.0,0.093,0.093,0.092
CGY,2008,CGY,2008020074,CGY,EDM,AWAY,20081018,Team Level,all,0.556,0.6129,0.5632,3600.0,34.015,2.949,2.267,7.787,1.146,20.511,14.34,2.898,3.02,2.969,33.0,16.0,27.0,76.0,2.0,2.0,1.0,8.0,0.0,17.0,20.0,31.0,47.0,6.0,15.0,23.0,8.0,8.0,6.0,42.0,4.0,3.0,1.095,0.438,1.417,0.0,0.0,2.0,78.339,49.0,49.784,1.0,0.522,0.894,0.894,2.577,2.645,2.609,27.981,2.355,1.855,5.605,0.811,15.427,11.948,2.307,2.267,2.223,27.0,11.0,10.0,48.0,3.0,0.0,0.0,2.0,1.0,13.0,19.0,24.0,35.0,8.0,19.0,34.0,21.0,6.0,14.0,28.0,10.0,0.0,1.226,1.129,0.0,1.0,2.0,0.0,46.116,38.0,36.584,12.0,0.395,0.0,0.0,2.75,2.647,2.595
CGY,2008,CGY,2008020074,CGY,EDM,AWAY,20081018,Team Level,5on5,0.448,0.5732,0.4912,2349.0,19.486,1.452,1.254,4.751,0.653,11.401,8.489,1.421,1.524,1.492,19.0,9.0,19.0,47.0,0.0,1.0,0.0,6.0,0.0,7.0,14.0,19.0,28.0,6.0,15.0,16.0,8.0,6.0,5.0,24.0,3.0,1.0,0.809,0.353,0.29,0.0,0.0,0.0,49.339,28.0,28.784,1.0,0.257,0.29,0.29,1.419,1.488,1.468,21.323,1.789,1.424,4.367,0.615,11.891,8.914,1.751,1.701,1.667,21.0,8.0,6.0,35.0,3.0,0.0,0.0,1.0,1.0,10.0,14.0,18.0,26.0,7.0,17.0,22.0,19.0,5.0,8.0,22.0,7.0,0.0,0.955,0.834,0.0,1.0,2.0,0.0,33.116,29.0,27.584,7.0,0.293,0.0,0.0,2.082,1.979,1.938
CGY,2008,CGY,2008020074,CGY,EDM,AWAY,20081018,Team Level,4on5,0.2257,0.1818,0.2857,375.0,1.493,0.116,0.068,0.302,0.044,0.442,1.028,0.116,0.116,0.116,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.031,0.085,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.016,0.0,0.0,0.132,0.132,0.132,3.796,0.398,0.317,0.703,0.11,2.35,1.122,0.389,0.398,0.389,3.0,2.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,5.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,3.0,0.0,0.103,0.295,0.0,0.0,0.0,0.0,9.0,5.0,5.0,1.0,0.077,0.0,0.0,0.475,0.475,0.465
CGY,2008,CGY,2008020074,CGY,EDM,AWAY,20081018,Team Level,5on4,0.9326,0.9091,0.8889,638.0,10.848,1.246,0.839,2.208,0.379,7.524,3.804,1.226,1.246,1.226,11.0,5.0,4.0,20.0,2.0,1.0,1.0,1.0,0.0,8.0,4.0,9.0,14.0,0.0,0.0,5.0,0.0,1.0,1.0,14.0,0.0,2.0,0.119,0.0,1.127,0.0,0.0,2.0,20.0,16.0,16.0,0.0,0.218,0.604,0.604,0.859,0.859,0.843,1.464,0.09,0.047,0.232,0.043,0.447,1.142,0.09,0.09,0.09,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.01,0.0,0.0,0.1,0.1,0.1
